,Location,
0,AEC,
1,AECC_CSWS,
2,AECC_ELKINS,
3,AECC_FITZHUGH,
4,AECC_FLTCREEK,
5,AECC_FULTON,
6,AECC_HYDRO13,
7,AECC_JWTURK,
9,AEPM_CSWS,
12,ANTELOPE,
13,BBA,
14,BCA,
15,BEPM_RM_NPPD,
16,BEPM_TS_NPPD,
18,BLUECANYON2,
19,BLUECANYON5,
20,BLUECANYON6,
21,BRAZ,
22,BUBA,
23,BUFFALO_DUNES_WIND,
24,CANADIAN_HILLS_1,
25,CANADIAN_HILLS_2,
26,CANADIAN_HILLS_3,
27,CANADIAN_HILLS_4,
28,CANADIAN_HILLS_5,
29,CANEY_RIVER_WINDPOWER,
30,CASS_CO_1,
31,CASS_CO_2,
33,COFFEYVILLE_7,
34,COWP,
35,COWP_GEN1,
36,COWP_GEN2,
37,CPLE,
38,CPLW,
39,CROSSROADS1,
40,CROSSROADS2,
41,CROSSROADS3,
42,CROSSROADS4,
43,CRTH_SPA,
44,CSWARSENALHILL5,
45,CSWCOMANCHE1,
46,CSWETTURK,
47,CSWFLINTCREEK1,
48,CSWJLSTALL,
49,CSWKNOXLEE5,
50,CSWLIEBERMAN3,
51,CSWLIEBERMAN4,
52,CSWMATTISON1,
53,CSWMATTISON2,
54,CSWMATTISON3,
55,CSWMATTISON4,
56,CSWMSTURK,
57,CSWNARROWS1,
58,CSWNORTHEASTERN1,
59,CSWNORTHEASTERN2,
60,CSWNORTHEASTERN3,
61,CSWPIRKEY1,
62,CSWRIVERSIDE1,
63,CSWRIVERSIDE2,
64,CSWRIVERSIDE3,
65,CSWRIVERSIDE4,
66,CSWS.7CBY.7CBYWIND,
67,CSWS.AECC.DRIFTSAND,
68,CSWS.AECC.WILDHORSE,
69,CSWS.EKCW.EKCW,
70,CSWS.ELK2.ELKCITY2,
71,CSWS.FPLP.RSES.MSR,
72,CSWS.HCPP.RBPW,
73,CSWS.NUEN.CDL1,
74,CSWS.NUEN.CSI1,
75,CSWS.NUEN.CSI2,
76,CSWS.NUEN.CSI3,
77,CSWS.NUEN.GAZA,
78,CSWS.NUEN.MDT1,
79,CSWS.NUEN.T201,
80,CSWS.OMPA.TURK,
81,CSWS.RSPA.RUSHSPRWNDA,
82,CSWS.RSPB.RUSHSPRWNDB,
83,CSWS.TNSK.CADO,
84,CSWS.TNSK.ELKCITY2,
85,CSWS.TNSK.GATEWAY,
86,CSWS.TNSK.GREENCOUNTRY,
87,CSWS.TNSK.GREENCOUNTRY2,
88,CSWS.TNSK.GREENCOUNTRY3,
89,CSWS.TNSK.KIAPB1,
90,CSWS.TNSK.KIAPB2,
91,CSWS.VOLT.0003,
92,CSWS.VOLT.0004,
93,CSWS.VOLT.0044,
94,CSWS.VOLT.0050,
95,CSWS.VOLT.0051,
96,CSWS.VOLT.0053,
97,CSWS.VOLT.0055,
98,CSWS.VOLT.0056,
99,CSWS.VOLT.0057,
100,CSWS.VOLT.0060,
101,CSWS.VOLT.0076,
102,CSWS.VOLT.0077,
103,CSWS.VOLT.0078,
104,CSWS.VOLT.0079,
105,CSWS.VOLT.0080,
106,CSWS.VOLT.0081,
107,CSWS.VOLT.0082,
108,CSWS.VOLT.0083,
109,CSWS.VOLT.0084,
110,CSWS.VOLT.0086,
111,CSWS.VOLT.0089,
112,CSWS.VOLT.0090,
113,CSWS.VOLT.0091,
114,CSWS.VOLT.0092,
115,CSWS.VOLT.0114,
116,CSWS.VOLT.0121,
117,CSWS.VOLT.0122,
118,CSWS.VOLT.0124,
119,CSWS.VOLT.0135,
120,CSWS.VOLT.0144,
121,CSWS.VOLT.0145,
122,CSWS.VOLT.0162,
123,CSWS.VOLT.0164,
124,CSWS.VOLT.0175,
125,CSWS.VOLT.0178,
126,CSWS.VOLT.0193,
127,CSWS.VOLT.0201,
128,CSWS.VOLT.0202,
129,CSWS.VOLT.0203,
130,CSWS.VOLT.0204,
131,CSWS.VOLT.0205,
132,CSWS.VOLT.0206,
133,CSWS.WRWE.EAST,
134,CSWS.WRWW.WEST,
135,CSWS.WTHW.WTHW,
136,CSWSEASTMAN,
137,CSWSLEEPINGBEAR,
138,CSWSOUTHWESTERN1,
139,CSWSOUTHWESTERN2,
140,CSWSOUTHWESTERN3,
141,CSWSOUTHWESTERN4,
142,CSWSOUTHWESTERN5,
143,CSWSWTURK,
144,CSWS_ETEC_LOAD,
145,CSWS_OMPA_PIRKEY,
146,CSWTULSA2,
147,CSWTULSA4,
148,CSWWELEETKA4,
149,CSWWELEETKA5,
150,CSWWELSH1,
151,CSWWELSH3,
152,CSWWILKES1,
153,CSWWILKES2,
154,CSWWILKES3,
155,DEMPSEY_RIDGE_WIND,
156,DENL,
157,DERS,
158,DOE,
159,DOGWOOD,
161,DUK,
163,EDE.KINGSPOINT,
164,EDE.NEOSHORDGE,
165,EDE.NORTHFORK,
166,EDE.SLCC,
167,EDEP_SWMPEPHUB,
168,EDE_EC_01,
169,EDE_EC_02,
170,EDE_EC_03,
171,EDE_EC_04,
172,EDE_EDE,
173,EDE_ERW,
174,EDE_MWW,
175,EDE_OZD_5,
176,EDE_OZD_6,
177,EDE_OZD_7,
178,EDE_OZD_8,
179,EDE_PLUMPOINT,
180,EDE_RIV_10,
181,EDE_RIV_11,
182,EDE_RIV_12,
183,EDE_SL_01,
184,EDE_SWMP,
185,EEI,
187,EKC.SFEC.SFEC,
190,FLAT_WATER,
191,FMPP,
192,FPC,
193,FPL,
194,FREM_50T,
195,FREM_6,
196,FREM_7,
197,FREM_8,
198,FREM_LOAD,
199,FRONTIER,
200,GATEWAY_LOAD,
