time,temperature,wind_speed
2023-01-01T00:00,4.4,31.3
2023-01-01T01:00,3.5,28.7
2023-01-01T02:00,2.6,25.7
2023-01-01T03:00,3.1,28.7
2023-01-01T04:00,3.1,28.9
2023-01-01T05:00,0.8,9.1
2023-01-01T06:00,0.9,4.7
2023-01-01T07:00,-0.6,8
2023-01-01T08:00,-0.2,13.3
2023-01-01T09:00,0.4,3.7
2023-01-01T10:00,-0.2,10.1
2023-01-01T11:00,1.2,16.6
2023-01-01T12:00,3.1,21
2023-01-01T13:00,5.1,15.5
2023-01-01T14:00,6.6,14.3
2023-01-01T15:00,7.4,12.8
2023-01-01T16:00,7.9,6.2
2023-01-01T17:00,8.1,6.9
2023-01-01T18:00,7.7,9.4
2023-01-01T19:00,6.3,19.2
2023-01-01T20:00,4.7,30.5
2023-01-01T21:00,4.2,33.2
2023-01-01T22:00,3.3,31.4
2023-01-01T23:00,2.6,21.5
2023-01-02T00:00,1.1,13.4
2023-01-02T01:00,1.2,15.2
2023-01-02T02:00,0.4,14.1
2023-01-02T03:00,1.3,20.2
2023-01-02T04:00,2,24.3
2023-01-02T05:00,2.6,19.2
2023-01-02T06:00,2.7,17.3
2023-01-02T07:00,2.6,18.7
2023-01-02T08:00,2.4,19.1
2023-01-02T09:00,2.4,16.7
2023-01-02T10:00,2.3,23.2
2023-01-02T11:00,2.5,21.1
2023-01-02T12:00,3,37.8
2023-01-02T13:00,3.4,39.3
2023-01-02T14:00,4.7,7.3
2023-01-02T15:00,5.4,5.4
2023-01-02T16:00,5.8,8.9
2023-01-02T17:00,5.7,12.6
2023-01-02T18:00,5.6,11.3
2023-01-02T19:00,4.9,16.5
2023-01-02T20:00,3.8,10.8
2023-01-02T21:00,3.4,11.6
2023-01-02T22:00,2.6,14.3
2023-01-02T23:00,1.4,14.5
2023-01-03T00:00,1.6,13.8
2023-01-03T01:00,1.6,16.9
2023-01-03T02:00,1.5,24.6
2023-01-03T03:00,1.3,31.7
2023-01-03T04:00,-0.2,39
2023-01-03T05:00,-0.5,40.2
2023-01-03T06:00,-0.6,41.6
2023-01-03T07:00,-0.7,43.2
2023-01-03T08:00,-1.2,51.9
2023-01-03T09:00,-1.6,51.8
2023-01-03T10:00,-1.4,47.9
2023-01-03T11:00,-0.9,43.9
2023-01-03T12:00,0.2,45.4
2023-01-03T13:00,1.7,42.9
2023-01-03T14:00,2.3,43.4
2023-01-03T15:00,2.7,41
2023-01-03T16:00,3.4,36.7
2023-01-03T17:00,3.7,33
2023-01-03T18:00,3,30.9
2023-01-03T19:00,1.6,24.3
2023-01-03T20:00,-0.7,26.5
2023-01-03T21:00,-1.1,23.7
2023-01-03T22:00,-1.7,24.8
2023-01-03T23:00,-2.4,26.2
2023-01-04T00:00,-2.8,28
2023-01-04T01:00,-3,25.1
2023-01-04T02:00,-3.6,21.9
2023-01-04T03:00,-4.2,22.5
2023-01-04T04:00,-4.4,21.3
2023-01-04T05:00,-4.5,21.1
2023-01-04T06:00,-4.5,19.5
2023-01-04T07:00,-4.6,22.4
2023-01-04T08:00,-5.4,20.9
2023-01-04T09:00,-5.5,23.2
2023-01-04T10:00,-5.2,26.9
2023-01-04T11:00,-3.3,29.9
2023-01-04T12:00,-0.5,33
2023-01-04T13:00,2.3,25.2
2023-01-04T14:00,5.8,24.5
2023-01-04T15:00,6.5,28.3
2023-01-04T16:00,6.6,34.1
2023-01-04T17:00,6.2,35.2
2023-01-04T18:00,5.5,34.2
2023-01-04T19:00,3.7,34.5
2023-01-04T20:00,1.7,32.6
2023-01-04T21:00,0.4,32.6
2023-01-04T22:00,-0.2,32.7
2023-01-04T23:00,-1.5,27
2023-01-05T00:00,-2,30.3
2023-01-05T01:00,-2.5,28.1
2023-01-05T02:00,-2.5,31.4
2023-01-05T03:00,-2.4,32
2023-01-05T04:00,-2.5,32.7
2023-01-05T05:00,-2.5,32.8
2023-01-05T06:00,-2.6,31.9
2023-01-05T07:00,-2.7,31.6
2023-01-05T08:00,-2.9,31.5
2023-01-05T09:00,-3.9,29.1
2023-01-05T10:00,-4.8,24.3
2023-01-05T11:00,-3.9,23.2
2023-01-05T12:00,-1.4,26.9
2023-01-05T13:00,2.1,16.2
2023-01-05T14:00,5.3,18
2023-01-05T15:00,7.5,15.1
2023-01-05T16:00,8.7,13
2023-01-05T17:00,9,7.5
2023-01-05T18:00,8.3,4.7
2023-01-05T19:00,3.1,10.8
2023-01-05T20:00,1.1,25.6
2023-01-05T21:00,1.2,27.7
2023-01-05T22:00,1,28.4
2023-01-05T23:00,-0.2,25.9
2023-01-06T00:00,0.3,31.5
2023-01-06T01:00,0.8,32.2
2023-01-06T02:00,1,33.9
2023-01-06T03:00,0.9,34.5
2023-01-06T04:00,0.7,33.5
2023-01-06T05:00,0.4,31.7
2023-01-06T06:00,0.1,29.3
2023-01-06T07:00,-0.4,26.1
2023-01-06T08:00,-1,25
2023-01-06T09:00,-1.5,25.3
2023-01-06T10:00,-3.2,15.9
2023-01-06T11:00,-1,14.1
2023-01-06T12:00,1.2,8.3
2023-01-06T13:00,3.7,3.9
2023-01-06T14:00,5.8,4.3
2023-01-06T15:00,8,5.1
2023-01-06T16:00,9.5,3.5
2023-01-06T17:00,10,2.5
2023-01-06T18:00,9.1,10.9
2023-01-06T19:00,5,20.6
2023-01-06T20:00,2,25.6
2023-01-06T21:00,1.1,34.3
2023-01-06T22:00,0.4,32.2
2023-01-06T23:00,-0.4,36.2
2023-01-07T00:00,-1.1,34.1
2023-01-07T01:00,-1.8,30
2023-01-07T02:00,-2.2,30.6
2023-01-07T03:00,-2.3,31.8
2023-01-07T04:00,-2.4,31.2
2023-01-07T05:00,-2.5,29.4
2023-01-07T06:00,-2.8,27.2
2023-01-07T07:00,-2.9,27.4
2023-01-07T08:00,-3.4,28.1
2023-01-07T09:00,-3.9,27.3
2023-01-07T10:00,-4.1,25.9
2023-01-07T11:00,-2.9,23.3
2023-01-07T12:00,-0.6,16.5
2023-01-07T13:00,1.6,14.5
2023-01-07T14:00,3.4,10.5
2023-01-07T15:00,5,8.8
2023-01-07T16:00,6.1,9.9
2023-01-07T17:00,6.6,8.7
2023-01-07T18:00,6.3,8.2
2023-01-07T19:00,4.2,8.2
2023-01-07T20:00,4.1,5.3
2023-01-07T21:00,2.9,2.8
2023-01-07T22:00,-1.3,9.1
2023-01-07T23:00,-1.8,14.3
2023-01-08T00:00,-1.9,17.9
2023-01-08T01:00,-1.5,21.7
2023-01-08T02:00,-1,25.1
2023-01-08T03:00,-1.3,23.7
2023-01-08T04:00,-2.4,19
2023-01-08T05:00,-2,21.8
2023-01-08T06:00,-1.6,26.6
2023-01-08T07:00,-1.6,24.7
2023-01-08T08:00,-2.1,25.5
2023-01-08T09:00,-2.1,27.9
2023-01-08T10:00,-2.2,26.2
2023-01-08T11:00,-0.3,24.7
2023-01-08T12:00,3.1,24.2
2023-01-08T13:00,5.7,16.8
2023-01-08T14:00,7.9,14.3
2023-01-08T15:00,9.5,13.6
2023-01-08T16:00,10.6,14.3
2023-01-08T17:00,11,12.9
2023-01-08T18:00,10,15.3
2023-01-08T19:00,5.8,23.1
2023-01-08T20:00,3.9,26
2023-01-08T21:00,3.1,27.5
2023-01-08T22:00,3,28.6
2023-01-08T23:00,2.8,31.1
2023-01-09T00:00,2.9,32.9
2023-01-09T01:00,2.3,32.5
2023-01-09T02:00,1.7,31.7
2023-01-09T03:00,1,29.2
2023-01-09T04:00,0,25.1
2023-01-09T05:00,-1.2,22.1
2023-01-09T06:00,-2.2,18.9
2023-01-09T07:00,-3.1,16.1
2023-01-09T08:00,-2.4,24.7
2023-01-09T09:00,-1.7,30.1
2023-01-09T10:00,-1.3,29.6
2023-01-09T11:00,1,29.7
2023-01-09T12:00,5.2,30.4
2023-01-09T13:00,9.4,26.4
2023-01-09T14:00,12.3,17.9
2023-01-09T15:00,13.4,21.8
2023-01-09T16:00,13.9,17.7
2023-01-09T17:00,13.9,11.5
2023-01-09T18:00,12.6,9.2
2023-01-09T19:00,8,10.1
2023-01-09T20:00,5.6,9.8
2023-01-09T21:00,3.9,9.9
2023-01-09T22:00,3,17.4
2023-01-09T23:00,3.1,25.4
2023-01-10T00:00,3,27.4
2023-01-10T01:00,2.8,28.6
2023-01-10T02:00,3.2,31.4
2023-01-10T03:00,3.5,33
2023-01-10T04:00,3.7,36.8
2023-01-10T05:00,3.9,38.1
2023-01-10T06:00,3.6,35.6
2023-01-10T07:00,2.2,26.7
2023-01-10T08:00,1.7,26.3
2023-01-10T09:00,-0.5,23.3
2023-01-10T10:00,-1.5,21
2023-01-10T11:00,0.8,18.5
2023-01-10T12:00,5.2,25.2
2023-01-10T13:00,10.5,29.7
2023-01-10T14:00,12.6,21.1
2023-01-10T15:00,14,22.5
2023-01-10T16:00,15.2,25
2023-01-10T17:00,15.1,22.8
2023-01-10T18:00,14,21.5
2023-01-10T19:00,9.4,16.2
2023-01-10T20:00,7.7,18
2023-01-10T21:00,5.3,19.5
2023-01-10T22:00,4.2,22.2
2023-01-10T23:00,2,17.7
2023-01-11T00:00,4.4,7.9
2023-01-11T01:00,0.6,2.2
2023-01-11T02:00,-0.1,6.4
2023-01-11T03:00,-0.9,7.8
2023-01-11T04:00,-1.4,3.3
2023-01-11T05:00,-1.2,0.8
2023-01-11T06:00,-0.6,2.5
2023-01-11T07:00,1,8.2
2023-01-11T08:00,0.1,12.4
2023-01-11T09:00,0.4,18.6
2023-01-11T10:00,0.6,21.5
2023-01-11T11:00,2.3,24.5
2023-01-11T12:00,4.5,24.1
2023-01-11T13:00,6.6,26.2
2023-01-11T14:00,9.7,15.5
2023-01-11T15:00,10.8,9.2
2023-01-11T16:00,11.4,16.2
2023-01-11T17:00,9.1,24.9
2023-01-11T18:00,7.5,26.8
2023-01-11T19:00,5.7,33.6
2023-01-11T20:00,2.8,48.5
2023-01-11T21:00,2.2,51.1
2023-01-11T22:00,1.8,52.9
2023-01-11T23:00,1.2,51.8
2023-01-12T00:00,1.2,52.3
2023-01-12T01:00,1.3,47.5
2023-01-12T02:00,0.6,44.4
2023-01-12T03:00,0.3,44.6
2023-01-12T04:00,0.4,44.5
2023-01-12T05:00,0.5,44
2023-01-12T06:00,0.5,41.6
2023-01-12T07:00,0.3,39.3
2023-01-12T08:00,-0.5,39.3
2023-01-12T09:00,-1.1,36.7
2023-01-12T10:00,-1.7,31.8
2023-01-12T11:00,-0.7,29.7
2023-01-12T12:00,1.2,23.2
2023-01-12T13:00,3.1,25.3
2023-01-12T14:00,4.8,25.6
2023-01-12T15:00,6.2,24.2
2023-01-12T16:00,7.2,20.1
2023-01-12T17:00,7.7,16.8
2023-01-12T18:00,7.7,14.1
2023-01-12T19:00,5.8,12.3
2023-01-12T20:00,3.5,10.1
2023-01-12T21:00,4.1,7.9
2023-01-12T22:00,2,8.3
2023-01-12T23:00,0,9
2023-01-13T00:00,0.8,3.3
2023-01-13T01:00,-1.5,2.9
2023-01-13T02:00,-2.1,4
2023-01-13T03:00,-2.6,14.1
2023-01-13T04:00,-3.5,13.4
2023-01-13T05:00,-3.4,15
2023-01-13T06:00,-3.9,13
2023-01-13T07:00,-2.4,6.8
2023-01-13T08:00,-4.2,8.9
2023-01-13T09:00,-5.2,8.1
2023-01-13T10:00,-5.5,6.2
2023-01-13T11:00,-2.8,1.8
2023-01-13T12:00,0.8,7.6
2023-01-13T13:00,4.5,8.5
2023-01-13T14:00,7.2,9.5
2023-01-13T15:00,9.1,11.6
2023-01-13T16:00,9.9,14.8
2023-01-13T17:00,9.7,17.3
2023-01-13T18:00,8.7,17.7
2023-01-13T19:00,5.5,22.5
2023-01-13T20:00,3,24.7
2023-01-13T21:00,2.3,27
2023-01-13T22:00,2.4,31.8
2023-01-13T23:00,2.5,34
2023-01-14T00:00,2.4,35.6
2023-01-14T01:00,2.2,35.8
2023-01-14T02:00,2,34.9
2023-01-14T03:00,1.7,34.6
2023-01-14T04:00,1.5,34.9
2023-01-14T05:00,1.3,34.9
2023-01-14T06:00,1.2,34.2
2023-01-14T07:00,1.2,33.9
2023-01-14T08:00,1.2,34.5
2023-01-14T09:00,0.9,35.8
2023-01-14T10:00,1.3,37.1
2023-01-14T11:00,2.7,36.4
2023-01-14T12:00,5.1,42.4
2023-01-14T13:00,7.5,28.1
2023-01-14T14:00,9.9,29.7
2023-01-14T15:00,11.5,29.1
2023-01-14T16:00,12.4,25.7
2023-01-14T17:00,12.8,24.2
2023-01-14T18:00,12.3,21.6
2023-01-14T19:00,9.7,23.4
2023-01-14T20:00,8.9,28.9
2023-01-14T21:00,8.7,32.7
2023-01-14T22:00,8.5,37.8
2023-01-14T23:00,8.2,40.1
2023-01-15T00:00,8.3,40.3
2023-01-15T01:00,8.5,43.6
