Time,KCPLIATANUNIAT1,KCPLIATANUNIAT2,KCPLLACYGNEUNLAC1,KCPLLACYGNEUNLAC2,MPS.ROCKCREEK,SECI.KCPS.CIMARRON,SECI.KCPS.SPEARVILLE,SECI_CIMARRON,WR.JEC.1,WR.JEC.2,WR.JEC.3,WR.LEC.4,WR.LEC.5
2023-01-01 00:00:00-06:00,23.1615,23.1615,22.2436,22.2436,22.8559,17.3592,18.0405,17.3592,17.6536,17.0317,17.1019,24.3936,24.0183
2023-01-01 01:00:00-06:00,20.5651,20.5651,19.7729,19.7729,20.4925,17.1675,17.3628,17.1675,17.5015,17.2527,17.3181,20.9549,20.8391
2023-01-01 02:00:00-06:00,22.1197,22.1197,21.1474,21.1474,21.9965,18.5753,18.7383,18.5753,17.5991,17.1104,17.1791,23.0484,22.7795
2023-01-01 03:00:00-06:00,21.1908,21.1908,20.2595,20.2595,21.1168,18.0899,18.1809,18.0899,17.4774,17.1104,17.1787,21.9023,21.6705
2023-01-01 04:00:00-06:00,21.9438,21.9438,20.977,20.977,21.7675,18.7861,18.8693,18.7861,17.4918,17.0049,17.0748,22.8965,22.6176
2023-01-01 05:00:00-06:00,21.4135,21.4135,20.5245,20.5245,21.2666,18.8083,18.8176,18.8083,17.3447,16.9127,16.9841,22.06,21.8295
2023-01-01 06:00:00-06:00,22.7647,22.7647,21.8163,21.8163,22.5198,19.9549,19.9291,19.9549,17.5727,16.9521,17.0353,23.6773,23.324
2023-01-01 07:00:00-06:00,24.9941,24.9941,23.8441,23.8441,24.6413,21.8562,21.8023,21.8562,17.9822,17.0577,17.1519,26.5317,25.9854
2023-01-01 08:00:00-06:00,26.3279,26.3279,25.1798,25.1798,26.0749,23.556,23.5267,23.556,20.0675,19.2871,19.3889,27.5236,27.0815
2023-01-01 09:00:00-06:00,30.4453,30.4453,29.4898,29.4898,30.5456,28.3605,28.5114,28.3605,28.6939,28.782,28.9088,29.557,29.7065
2023-01-01 10:00:00-06:00,32.6959,32.6959,31.6684,31.6684,32.82,30.8999,31.0808,30.8999,30.8826,30.9733,31.1121,31.7639,31.9288
2023-01-01 11:00:00-06:00,36.0165,36.0165,34.9188,34.9188,36.17,34.4223,34.682,34.4223,34.1057,34.2007,34.3531,34.938,35.1226
2023-01-01 12:00:00-06:00,33.6368,33.6368,32.5951,32.5951,33.8262,32.3329,32.5452,32.3329,31.8415,31.9313,32.0742,32.4555,32.6834
2023-01-01 13:00:00-06:00,29.2421,29.2421,28.3378,28.3378,29.4189,28.1044,28.3039,28.1044,27.66,27.7414,27.8661,28.1921,28.393
2023-01-01 14:00:00-06:00,32.9272,32.9272,31.9644,31.9644,33.0458,31.7731,32.0112,31.7731,31.1849,31.2737,31.4138,31.7756,32.0017
2023-01-01 15:00:00-06:00,33.0202,33.0202,32.0504,32.0504,33.1092,31.523,31.8081,31.523,31.2496,31.3413,31.482,31.8985,32.1021
2023-01-01 16:00:00-06:00,33.2554,33.2554,32.2213,32.2213,33.3505,31.23,31.5397,31.23,31.3886,31.4858,31.6274,32.1514,32.3545
2023-01-01 17:00:00-06:00,30.4769,30.4769,29.262,29.262,30.629,26.802,27.2236,26.802,27.6377,27.5915,27.7221,29.6902,29.7618
2023-01-01 18:00:00-06:00,31.7251,31.7251,29.8374,29.8374,31.178,25.257,25.4986,25.257,19.5975,17.9377,18.0606,34.5613,33.54
2023-01-01 19:00:00-06:00,24.1663,24.1663,23.1166,23.1166,23.9534,16.7237,17.7388,16.7237,18.8049,18.3168,18.4024,24.6727,24.338
2023-01-01 20:00:00-06:00,22.2646,22.2646,21.5015,21.5015,22.0828,14.4662,15.5977,14.4662,18.3755,18.1522,18.2327,22.2203,22.0341
2023-01-01 21:00:00-06:00,20.164,20.164,19.1448,19.1448,20.3061,13.1541,14.3145,13.1541,18.03,18.1027,18.1834,19.3732,19.3778
2023-01-01 22:00:00-06:00,19.4672,19.4672,19.0693,19.0693,19.4347,12.0939,13.2106,12.0939,17.519,17.6675,17.7456,18.5641,18.5798
2023-01-01 23:00:00-06:00,18.1592,18.1592,18.0925,18.0925,18.1812,10.2694,11.1746,10.2694,15.7882,15.9768,16.055,17.1552,17.1095
2023-01-02 00:00:00-06:00,23.7776,23.7776,22.9904,22.9904,23.3338,17.0628,18.4287,17.0628,18.6038,18.0899,18.1723,24.588,24.105
2023-01-02 01:00:00-06:00,19.7305,19.7305,19.3339,19.3339,19.4506,14.1971,15.5148,14.1971,18.1055,18.1522,18.2195,19.4032,19.3184
2023-01-02 02:00:00-06:00,18.2452,18.2452,17.8779,17.8779,18.0527,12.9313,14.1495,12.9313,16.9724,17.0669,17.1294,17.7999,17.7494
2023-01-02 03:00:00-06:00,18.6275,18.6275,18.2565,18.2565,18.4291,13.2813,14.4955,13.2813,17.3291,17.4238,17.4883,18.1736,18.121
2023-01-02 04:00:00-06:00,18.5463,18.5463,18.1382,18.1382,18.3374,14.1677,15.0654,14.1677,17.2876,17.3761,17.4416,18.1108,18.0633
2023-01-02 05:00:00-06:00,18.4949,18.4949,18.0183,18.0183,18.2576,15.1181,15.6495,15.1181,17.2422,17.3259,17.3937,18.064,18.0179
2023-01-02 06:00:00-06:00,18.8159,18.8159,18.3594,18.3594,18.4885,16.2435,16.6044,16.2435,17.6169,17.6885,17.7615,18.4369,18.3942
2023-01-02 07:00:00-06:00,25.1637,25.1637,24.3396,24.3396,24.4821,21.7123,22.0438,21.7123,20.766,20.3357,20.4321,25.8802,25.4881
2023-01-02 08:00:00-06:00,25.7621,25.7621,24.8689,24.8689,25.0377,22.4761,22.7392,22.4761,20.6374,20.066,20.166,26.8061,26.3267
2023-01-02 09:00:00-06:00,26.8045,26.8045,25.6947,25.6947,25.8881,22.7169,22.9412,22.7169,18.9055,17.851,17.9547,28.906,28.1009
2023-01-02 10:00:00-06:00,25.8223,25.8223,24.7581,24.7581,25.0655,21.8821,22.043,21.8821,18.9201,18.0532,18.1492,27.4744,26.7843
2023-01-02 11:00:00-06:00,26.145,26.145,25.0554,25.0554,25.4454,22.5337,22.6054,22.5337,19.0503,18.138,18.238,27.8586,27.1432
2023-01-02 12:00:00-06:00,25.9153,25.9153,24.8829,24.8829,25.2946,21.5474,21.8513,21.5474,19.0503,18.198,18.2976,27.5193,26.832
2023-01-02 13:00:00-06:00,23.9018,23.9018,23.2043,23.2043,23.3436,17.1152,18.2829,17.1152,18.8085,18.3007,18.3877,24.8041,24.3246
2023-01-02 14:00:00-06:00,23.282,23.282,22.7799,22.7799,22.648,15.976,17.4312,15.976,18.7672,18.3502,18.4335,24.0513,23.6352
2023-01-02 15:00:00-06:00,23.2926,23.2926,22.8222,22.8222,22.6084,16.0303,17.4557,16.0303,18.7546,18.333,18.4162,24.076,23.6588
2023-01-02 16:00:00-06:00,24.7896,24.7896,24.176,24.176,23.9458,16.7332,18.2118,16.7332,18.8452,18.2017,18.2865,26.0624,25.4892
2023-01-02 17:00:00-06:00,26.598,26.598,25.7894,25.7894,25.5324,17.1841,18.6965,17.1841,18.9055,18.0193,18.1081,28.3683,27.6028
2023-01-02 18:00:00-06:00,20.2705,20.2705,20.5297,20.5297,19.8585,10.7207,11.589,10.7207,17.3264,17.5696,17.643,19.3519,19.0916
2023-01-02 19:00:00-06:00,18.0,18.0,20.1923,20.1923,17.6962,4.4713,5.1097,4.4713,13.9044,14.2625,14.3339,16.4629,16.1418
2023-01-02 20:00:00-06:00,18.4489,18.4489,23.691,23.691,18.289,0.2823,0.5225,0.2823,12.4193,12.9662,13.0335,16.1461,15.6329
2023-01-02 21:00:00-06:00,16.4205,16.4205,24.8872,24.8872,15.9401,-5.1447,-5.1947,-5.1447,9.3116,9.9736,10.0323,13.9126,13.2872
